Apex Time (min)	Class	Start Time	Start Height	End Time	End Height
7.342	A	7.213	0.009927048139	7.527	0.010584094080999999
11.769	A	11.7	0.0237174008	11.955	0.02410340042
13.683	A	13.625	0.028724442625000002	13.892	0.029665224868
16.343	A	16.278	0.035976805566	16.668	0.036906876396
20.999	A	20.92	0.04689575008000001	21.155	0.04738641809500001
21.21	B	21.155	0.04738641809500001	21.398	0.047893789702
23.244	A	23.173	0.05176788000199999	23.357	0.05252641521799999
25.765	A	25.69	0.05776523621	25.922	0.058441170298
38.798	B	38.5	0.08234040499999995	39.095	0.09072248534999994
39.923	B	39.798	0.09676661936400002	39.997	0.09837822444600006
40.952	A	40.903	0.10455710983600003	41.017	0.10555723320400001
41.199	A	41.142	0.10666603960000004	41.273	0.10829093740000001
41.339	A	41.277	0.10834391171400001	41.498	0.11010110083599997
41.793	A	41.665	0.110900389943	41.867	0.11071475885139999
41.903	A	41.867	0.11071475885139999	42.023	0.11057140018659999
42.154	A	42.07	0.110528208794	42.28	0.11033522597599998
