Apex Time (min)	Class	Start Time	Start Height	End Time	End Height
1.946	A	1.895	0.000113368032205	2.032	0.00011408503252799999
11.661	A	11.573	0.006162716248000001	11.778	0.006480051327999999
16.172	A	16.098	0.0099550318482	16.307	0.0101145659163
17.644	A	17.585	0.011369347449500002	17.76	0.011513352272
21.079	A	21.01	0.015040767150000002	21.232	0.015370040880000001
24.886	A	24.798	0.020758791367999994	25.038	0.021239443208
26.041	A	25.97	0.02282628746	26.173	0.023215239114
28.677	A	28.598	0.028295489724	28.78	0.02863920364
33.334	B	33.263	0.03966146826999999	33.42	0.0401300018
38.943	A	38.888	0.06244548727999988	39.003	0.06496275792999995
40.529	B	40.485	0.10318169474999994	40.737	0.11020376295000012
40.802	B	40.742	0.11034065023999973	40.975	0.11695755199999991
41.272	A	41.193	0.12357886225000003	41.327	0.12788672774999998
