Apex Time (min)	Class	Start Time	Start Height	End Time	End Height
4.769	A	4.708	0.025999505584	4.838	0.024992167824000003
4.85	A	4.838	0.024992167824000003	4.892	0.024573735215999995
4.916	A	4.892	0.024573735215999995	4.977	0.023915091296
5.771	A	5.71	0.022961051943	5.823	0.0229286902459
5.941	A	5.868	0.0229158028444	5.97	0.022886591401000002
6.037	A	5.97	0.022886591401000002	6.07	0.022857952731
6.112	A	6.07	0.022857952731	6.218	0.022815567499400002
6.382	A	6.31	0.02419162114	6.48	0.02334857312
8.126	A	8.073	0.020788931947	8.202	0.021055670278
8.297	A	8.202	0.021055670278	8.315	0.021289324784999997
8.35	A	8.315	0.021289324784999997	8.458	0.021585011462000002
8.828	A	8.763	0.021100647697	8.857	0.021265751083
8.931	A	8.857	0.021265751083	9.147	0.021775112593
9.303	A	9.237	0.022836724806999997	9.377	0.021952430346999993
10.024	A	9.948	0.022289207283999996	10.137	0.021921939270999998
10.844	A	10.775	0.0209305963	10.95	0.020698387400000004
11.707	A	11.627	0.021112325278999998	11.763	0.021479535751
12.235	A	12.105	0.022402962085	12.388	0.023167083876
13.667	A	13.615	0.027204991999999997	13.837	0.0269773976
14.409	A	14.345	0.028906582244999993	14.533	0.028179740592999998
15.916	A	15.777	0.029183515164999996	16.02	0.0291051829
16.175	A	16.03	0.029066563141	16.34	0.029272795198000003
16.508	A	16.387	0.029539344328	16.568	0.029795087192
16.61	A	16.568	0.029795087192	16.702	0.029984421688
16.767	A	16.702	0.029984421688	16.862	0.030210492728
17.283	A	17.22	0.032505269374	17.378	0.032554756032599996
18.756	A	18.622	0.03308852002000001	18.86	0.03768618260000001
19.041	A	18.868	0.037821586468000004	19.143	0.037187216743
19.235	A	19.143	0.037187216743	19.425	0.036536699425
19.448	A	19.425	0.036536699425	19.562	0.036220667962
20.404	A	20.322	0.038517785755999984	20.462	0.03784875347599999
20.499	A	20.462	0.03784875347599999	20.642	0.036988569115999986
22.022	A	21.962	0.041270473352	22.145	0.04152440342
22.277	A	22.19	0.040905995489999986	22.378	0.039834032837999994
22.6	A	22.512	0.040139719616000005	22.662	0.040569558566
22.719	A	22.662	0.040569558566	22.918	0.041303150373999994
23.017	A	22.925	0.04130458940000001	23.017	0.041771280376
23.063	A	23.017	0.041771280376	23.138	0.04238508046400001
23.241	A	23.165	0.04287839064	23.372	0.042666839952000005
23.85	A	23.783	0.044821195986	23.947	0.044621729674
24.012	A	23.947	0.044621729674	24.152	0.044372396784
25.483	A	25.332	0.04587393387199999	25.665	0.04772161634000001
26.458	A	26.375	0.0478949605	26.625	0.04866219149999999
26.756	A	26.682	0.04830427782499999	26.808	0.04838065429999999
26.886	A	26.808	0.04838065429999999	26.937	0.04845884926249999
27.872	A	27.787	0.049321527875	27.993	0.049781654625
28.707	A	28.628	0.051203231636000004	28.845	0.051690578264999995
29.281	A	29.202	0.052710423124000004	29.372	0.053239354664
30.727	A	30.673	0.05616746113	30.787	0.05662264147
30.943	A	30.862	0.057903323279999974	31.11	0.060572408399999944
31.722	A	31.643	0.057897592086999995	31.84	0.058167700559999994
32.394	A	32.34	0.059028377860000016	32.445	0.059252319655
32.447	A	32.445	0.059252319655	32.527	0.05942720753300001
33.003	A	32.77	0.059945472830000006	33.003	0.060442410337000006
33.062	A	33.003	0.060442410337000006	33.332	0.061144094628
34.175	A	34.108	0.06267177166399998	34.302	0.063755476616
34.365	A	34.305	0.063770520605	34.437	0.064215579857
34.615	A	34.493	0.0654051950579	34.745	0.0655391255735
34.745	A	34.745	0.0655391255735	35.237	0.0658006089611
35.897	A	35.818	0.066856151482	35.95	0.06710274517
35.998	A	35.955	0.06790567517	36.057	0.067701876518
36.205	A	36.105	0.06739230594	36.375	0.06789670212
36.444	A	36.375	0.06789670212	36.492	0.06811527379799999
36.603	A	36.492	0.06811527379799999	36.77	0.06863461505
36.824	A	36.77	0.06863461505	37.012	0.069086703478
38.075	A	37.997	0.07260994618620001	38.173	0.0727571181958
39.094	A	39.047	0.074489096551	39.183	0.074809245039
39.92	A	39.83	0.07612256394	39.982	0.076406168276
40.028	A	39.982	0.076406168276	40.092	0.07661140825599999
40.483	A	40.423	0.07717297310200001	40.58	0.07741894092
42.067	A	41.992	0.08092855243999997	42.177	0.08211110851499998
42.506	A	42.413	0.08232202524000001	42.718	0.08197416664000001
43.194	A	43.115	0.08567615480499999	43.333	0.08512291593099999
44.583	A	44.457	0.08421985378100001	44.7	0.0848548451
45.086	A	45.027	0.0848972896859	45.137	0.0849472100729
45.305	A	45.225	0.0849871463825	45.353	0.0850452355601
45.404	A	45.353	0.0850452355601	45.457	0.0850924330169
45.536	A	45.457	0.0850924330169	45.857	0.0852739616969
45.931	A	45.857	0.0852739616969	46.005	0.0853411273085
49.314	A	49.212	0.08716817768400001	49.357	0.087450109449
49.391	A	49.357	0.087450109449	49.487	0.08770287585900001
