Apex Time (min)	Class	Start Time	Start Height	End Time	End Height
2.825	B	2.723	-4.6926596629999994E-05	2.939	-5.2149003590000006E-05
3.163	B	2.939	-5.2149003590000006E-05	3.281	-6.041781461000001E-05
3.46	B	3.281	-6.041781461000001E-05	3.673	-6.989551613000001E-05
3.864	B	3.673	-6.989551613000001E-05	4.243	-8.367686783E-05
7.593	A	7.283	-0.00016125868240000007	7.917	-5.197787760000019E-05
8.81	B	8.601	-0.00018293817602	9.057	-0.00019876320914
11.22	B	10.969	-0.000245419393231	11.4	-0.0002490147086
11.918	B	11.4	-0.0002490147086	12.223	-0.000255880009177
12.553	B	12.223	-0.000255883811518	12.806	-0.000254005190796
13.47	B	13.047	-0.00026125673491	13.895	-0.00028564566434999993
14.622	A	14.326	-0.00029155610596	15.162	-0.00028082726652
15.663	B	15.479	-0.00025667921487999997	15.77	-0.00024955865439999994
15.83	B	15.77	-0.00024955865439999994	16.049	-0.00024273172527999995
16.593	B	16.391	-0.00024407260811000004	16.783	-0.00023416528242999995
17.492	B	17.328	-0.00023737555391999988	17.594	-0.00022564858215999985
17.779	A	17.594	-0.00022564858215999985	18.101	-0.0002032967976399999
19.542	A	19.19	-9.736314099999992E-05	19.798	1.154552779999941E-05
20.101	A	19.798	1.154552779999941E-05	20.431	0.00012493234910000012
21.376	B	21.141	0.0001658257243999997	21.546	0.00024461782640000044
22.318	B	21.951	0.0002553150015000001	22.585	0.0003151180025000003
22.863	B	22.585	0.0003151180025000003	23.345	0.00038680614250000004
24.686	B	24.32	0.00045463448240000014	25.029	0.00049672538053
26.644	B	25.84	0.0005230306984000001	27.221	0.0005933215407100001
28.031	B	27.689	0.0006293827784899998	28.031	0.0006557285467099997
28.341	B	28.031	0.0006557285467099997	28.69	0.0007064942228999999
31.706	B	31.413	0.0006761545119200003	31.958	0.0007250005947200002
